file_path,file_name,line_number,module_hint,variable_name,variable_style,likely_role,section_hint,context
05_MIRRA_GENERAL_OVERHEADS_v4.0_LOCKED.txt,05_MIRRA_GENERAL_OVERHEADS_v4.0_LOCKED.txt,493,assets,active,plain,status_or_readiness_field,status_readiness_trust,"Principal repayments are not operating overhead cost. Principal repayments belong to cash flow / financing analysis, not baseline operating recovery, unless a future active brief explicitly changes this. Interest may be operating cost or asset finance review depending classification."
05_MIRRA_GENERAL_OVERHEADS_v4.0_LOCKED.txt,05_MIRRA_GENERAL_OVERHEADS_v4.0_LOCKED.txt,544,assets,active,plain,status_or_readiness_field,status_readiness_trust,- overhead categories exist - active categories have numeric amounts - review-required material items are resolved or explicitly accepted as review - excluded asset finance amount is visible where selected
08_MIRRA_SCENARIO_LAYER_DECISION_v4.0_LOCKED.txt,08_MIRRA_SCENARIO_LAYER_DECISION_v4.0_LOCKED.txt,378,assets,active,plain,status_or_readiness_field,status_readiness_trust,09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt This preserves the numbering system without creating an unnecessary active module. ---
08_MIRRA_SCENARIO_LAYER_DECISION_v4.0_LOCKED.txt,08_MIRRA_SCENARIO_LAYER_DECISION_v4.0_LOCKED.txt,477,assets,active,plain,status_or_readiness_field,status_readiness_trust,8. Scenario values remain preview-only unless accepted. 9. Scenario acceptance requires explicit user approval. 10. The active v4.0 build continues to Assets after this decision brief. 11. No hidden source mutation is allowed. 12. No scenario value becomes active truth silently.
08_MIRRA_SCENARIO_LAYER_DECISION_v4.0_LOCKED.txt,08_MIRRA_SCENARIO_LAYER_DECISION_v4.0_LOCKED.txt,479,assets,active,plain,status_or_readiness_field,status_readiness_trust,10. The active v4.0 build continues to Assets after this decision brief. 11. No hidden source mutation is allowed. 12. No scenario value becomes active truth silently. ---
09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,208,assets,active,plain,status_or_readiness_field,status_readiness_trust,- asset_group_id is optional but useful for grouping similar assets. - is_productive_asset controls whether the asset enters the productive asset pool. - inactive assets should not contribute to active totals. - asset identity must not be created downstream. - do not use asset_name as a key.
09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,538,assets,active,plain,status_or_readiness_field,status_readiness_trust,Principal repayment is not baseline operating recovery cost. Principal repayment belongs to future Cash Flow / finance-pressure analysis unless a future active brief explicitly changes this. Asset finance interest may be operating cost.
09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,642,assets,active,plain,status_or_readiness_field,status_readiness_trust,total_asset_cost_annual = sum total_asset_cost_annual for active assets total_productive_asset_cost_annual =
09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,645,assets,active,plain,status_or_readiness_field,status_readiness_trust,total_productive_asset_cost_annual = sum total_asset_cost_annual for active productive assets total_non_productive_asset_cost_annual =
09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,648,assets,active,plain,status_or_readiness_field,status_readiness_trust,total_non_productive_asset_cost_annual = sum total_asset_cost_annual for active non-productive assets total_productive_asset_burden =
