severity,file,check,finding
info,00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: MUST NOT, NOT ALLOWED"
info,01_MIRRA_ACTIVE_SYSTEM_BRIEF_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
warning,02_MIRRA_IMPLEMENTATION_ORDER_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,02_MIRRA_IMPLEMENTATION_ORDER_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: PURPOSE
info,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, NOT ALLOWED"
info,04_MIRRA_P_AND_L_PAGE_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
info,05_MIRRA_GENERAL_OVERHEADS_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
error,05_MIRRA_GENERAL_OVERHEADS_v4.0_LOCKED.txt,conflict_term,Potential conflicting architecture phrase found: Employee Overheads as a separate active module
info,06_MIRRA_COST_SUMMARY_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: PURPOSE
info,07_MIRRA_LABOUR_MODULE_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: PURPOSE
info,08_MIRRA_SCENARIO_LAYER_DECISION_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
info,09_MIRRA_ASSETS_MODULE_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
info,10_MIRRA_MODULE_RECONCILIATION_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: PURPOSE
info,11_MIRRA_MODEL_READINESS_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: INPUTS
info,12_MIRRA_BUSINESS_SETUP_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
info,13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
info,14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: PURPOSE
info,15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: INPUTS
info,16_MIRRA_ASSET_REALITY_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
info,17_MIRRA_COST_ALLOCATION_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: PURPOSE
warning,17_MIRRA_COST_ALLOCATION_v4.0_LOCKED.txt,cost_allocation_recovery_boundary,Cost Allocation file may not clearly state it must not calculate recovery.
info,18_MIRRA_RECOVERY_SUMMARY_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
warning,19_MIRRA_RATE_BUILDER_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,19_MIRRA_RATE_BUILDER_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
warning,20_MIRRA_BUSINESS_OUTCOME_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
warning,21_MIRRA_QUOTE_CHECKER_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,21_MIRRA_QUOTE_CHECKER_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
warning,22_MIRRA_SOQ_JOB_PO_LAYER_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,22_MIRRA_SOQ_JOB_PO_LAYER_v4.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
warning,23_MIRRA_JOB_COSTING_PROFITABILITY_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,23_MIRRA_JOB_COSTING_PROFITABILITY_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
warning,24_MIRRA_MODEL_FEEDBACK_LOOP_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,24_MIRRA_MODEL_FEEDBACK_LOOP_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
warning,25_MIRRA_MODEL_REVIEW_APPROVAL_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,25_MIRRA_MODEL_REVIEW_APPROVAL_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
warning,26_MIRRA_DATA_QUALITY_DASHBOARD_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,26_MIRRA_DATA_QUALITY_DASHBOARD_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: DEFINITION
warning,27_MIRRA_REPORTING_ANALYTICS_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,27_MIRRA_REPORTING_ANALYTICS_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
warning,28_MIRRA_DATABASE_STORAGE_EXPORT_LAYER_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,28_MIRRA_DATABASE_STORAGE_EXPORT_LAYER_v4.0_LOCKED.txt,section_coverage,Only 1 standard section hints found: DEFINITION
warning,29_MIRRA_INTEGRATIONS_API_LAYER_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,29_MIRRA_INTEGRATIONS_API_LAYER_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: PURPOSE, DEFINITION"
warning,30_MIRRA_BUSINESS_MODELLING_v4.0_LOCKED.txt,locked_marker,No LOCKED marker found.
info,30_MIRRA_BUSINESS_MODELLING_v4.0_LOCKED.txt,section_coverage,"Only 2 standard section hints found: OUTPUTS, DEFINITION"
info,MIRRA_CORE_CLOSED_LOOP_RECOVERY_MODEL_v1.0_LOCKED.txt,section_coverage,Only 0 standard section hints found: 
info,MIRRA_v4_CHAT_HANDOVER_PNL_REBUILD.txt,section_coverage,Only 1 standard section hints found: PURPOSE
error,MIRRA_v4_CHAT_HANDOVER_PNL_REBUILD.txt,conflict_term,Potential conflicting architecture phrase found: Cost Allocation owns recovery
error,MIRRA_v4_CHAT_HANDOVER_PNL_REBUILD.txt,conflict_term,Potential conflicting architecture phrase found: Cost Allocation calculates recovery
